Deutsch_grundform,spanisch_grundform
abbrechen,interrumpir
ableiten,derivar
Abschätzung,estimación
abschirmen,proteger
abstimmen,votar
Abtreibung,aborto
Abwechslung,alternancia
Abwicklung,procesamiento
Achtbar,respetable
Agentur,agencia
Akkurat,preciso
Aktivismus,activismo
Akzeptanz,aceptación
Allergie,alergia
ambitionen,ambiciones
Amtszeit,mandato
Anarchie,anarquía
Anerkennung,reconocimiento
Angestellte,empleado
Anlass,ocasión
Anmaßung,presunción
Anspruchsvoll,exigente
Ansteckend,contagioso
Anteilnahme,participación
Antibiotikum,antibiótico
Apologetic,disculpas
Architektur,arquitectura
Argument,argumento
Armut,pobreza
Artikulation,articulación
Asyl,asilo
Atmosphäre,atmósfera
Aufbau,construcción
Aufbewahrung,conservación
Aufklärung,ilustración
Auflösung,resolución
Aufsicht,supervisión
Auftrag,encargo
Aufwand,esfuerzo
Aufwertung,revalorización
Ausbeutung,explotación
Ausbildung,formación
Ausdauer,resistencia
Ausdrucksvoll,expresivo
Ausgangspunkt,punto de partida
Ausgewogenheit,equilibrio
auskommen,arreglárselas
Ausländerfeindlichkeit,xenofobia
Ausnahme,excepción
Ausrüstung,equipamiento
Ausstattung,equipamiento
Austausch,intercambio
Auswirkung,impacto
Automatisierung,automatización
Autonomie,autonomía
Autorität,autoridad
Bakterie,bacteria
Bankrott,bancarrota
Bauwerk,edificación
Bedeutung,significado
Bedürfnis,necesidad
Befragung,encuesta
Befriedigung,satisfacción
Begabung,talento
Begeisterung,entusiasmo
Begrenzung,limitación
Begriff,concepto
Begründung,justificación
Behauptung,afirmación
Behörde,autoridad
Beifall,aplauso
Beitrag,contribución
Bekenntnis,confesión
Belastung,carga
Belegschaft,plantilla
Belohnung,recompensa
Beobachtung,observación
Beratung,asesoramiento
Berechtigung,autorización
Bereich,área
Bereitschaft,disposición
Beschäftigung,empleo
Beschreibung,descripción
Beschwerde,queja
Besitzer,propietario
Besorgnis,preocupación
Beständigkeit,constancia
Bestechung,soborno
