Deutsch_grundform,spanisch_grundform
Abschließen,terminar
Ahnung,idea
Als,que
Ampel,semáforo
Ändern,cambiar
Angst,miedo
Antwortbogen,hoja de respuestas
Apotheke,farmacia
Ärgern,enfadar
Artikel,artículo
Jeden,en cualquier/ningún caso
Keinen,en cualquier/ningún caso
Fall,en cualquier/ningún caso
Aufpassen,prestar atención
Ausbildung,formación
Ausgeben,gastar
Außer,excepto
Bedanken,agradecer
Beeilen,darse prisa
Beenden,terminar
Beraten,aconsejar
Berichten,informar
Beschweren,quejarse
Bestätigen,confirmar
Bestehen,aprobar
Besuch,visita
Bewerben,solicitar
deutlich,claramente
Drinnen,dentro
Drüber,encima
dumm,tonto
dunkel,oscuro
dünn,delgado
E-book,libro electrónico
echt,de verdad
Eigen,propio
Eigentlich,en realidad
Einig,de acuerdo
Einkaufszentrum,centro comercial
Einpacken,empaquetar
Eintragen,inscribir
Einverstanden,de acuerdo
Einzeln,individual
Einziehen,mudarse
eng,estrecho
Erdgeschoss,planta baja
Erfahrung,experiencia
Erinnern,recordar
Erkältet,resfriado
Erlaubnis,permiso
Ermäßigung,descuento
Erreichen,llegar
Erst,primero
Etwas,algo
Fach,asignatura
Fahrplan,horario
Fallen,caer
Fan,fan
Fantastisch,fantástico
Faul,vago
Fernseher,televisor
Festival,festival
Fett,graso
Fit,en forma
Fleißig,trabajador
Flohmarkt,mercadillo
Flug,vuelo
Fluss,río
Fotoapparat,cámara de fotos
Fotografieren,fotografiar
freiwillig,voluntario
freundlich,amable
frisch,fresco
froh,alegre
früh,temprano
Fühlen,sentir
Führerschein,carné de conducir
Fundsachen,objetos perdidos
Furchtbar,terrible
Gabel,tenedor
Ganz,entero
Garage,garaje
Geehrt,honrado
gefährlich,peligroso
Gegenteil,contrario
Gegenüber,enfrente
Geldbörse,monedero
genau,exacto
Genug,suficiente
Gerät,aparato
Gericht,plato
Geschichte,historia
Geschirr,vajilla
gesund,sano
Gesundheit,salud
Gewitter,tormenta
Gitarre,guitarra
Grippe,gripe
Hamburger,hamburguesa
Handtuch,toalla
Hängen,colgar
hart,duro
hässlich,feo
Hauptstadt,capital
Haushalt,hogar
Heft,cuaderno
heiß,caliente
Heizung,calefacción
Hemd,camisa
Her,hacia aquí/allá
Heraus,afuera
Raus,afuera
Herein,adentro
Rein,adentro
Herstellen,fabricar
Herunterladen,descargar
Himmel,cielo
Hinter,detrás de
Hoffen,esperar
Hoffentlich,ojalá
Homepage,página web
Husten,toser
Informieren,informar
Insel,isla
Instrument,instrumento
intelligent,inteligente
Interesse,interés
Interessieren,interesar
interessant,interesante
Interview,entrevista
Jeans,vaqueros
Jemand,alguien
Joggen,hacer footing
Jugendherberge,albergue juvenil
Kalender,calendario
kalt,frío
Kamera,cámara
Käse,queso
Kaufhaus,grandes almacenes
Keller,sótano
Kenntnisse,conocimientos
Kette,cadena
Kirche,iglesia
Klappen,funcionar
Klavier,piano
Kleid,vestido
Klug,listo
komisch,raro
Kontakt,contacto
Kontrollieren,controlar
Konzert,concierto
Körper,cuerpo
Kosmetik,cosmética
kostenlos,gratis
Krankenhaus,hospital
Krankenkasse,seguro médico
Krankheit,enfermedad
Kredit,crédito
Kreuzung,cruce
Kriegen,conseguir
Krimi,novela negra
Kühl,fresco
Kultur,cultura
Kunst,arte
Lampe,lámpara
Landschaft,paisaje
langweilig,aburrido
Laptop,portátil
Lassen,dejar
Leer,vacío
Leidtun,sentir
Leihen,prestar
Liefern,entregar
Link,enlace
Löffel,cuchara
Lüge,mentira
Lügen,mentir
Lust,gana
Magen,estómago
Mailbox,buzón de voz
Mal,vez
Malen,pintar
Manch,alguno
Manchmal,a veces
Mannschaft,equipo
Mantel,abrigo
Medikament,medicamento
Meinen,opinar
Meinung,opinión
Meistens,la mayoría de las veces
Menge,cantidad
Merken,darse cuenta
Messe,feria
Messer,cuchillo
Mindestens,por lo menos
Mineralwasser,agua mineral
Mitarbeiter,empleado
Mittagessen,almuerzo
Mittel,medio
Mobiltelefon,teléfono móvil
Mode,moda
