Deutsch_grundform,spanisch_grundform
A,a
A und O,lo esencial
AN,AN
AUF,sobre
Abandonar,abandonar
Abby,Abby
Ablehnung,rechazo
Ablenkung,distracción
Abschied,despedida
Adams,Adams
Aeryn,Aeryn
Afrika,África
Ah,ah
Ahh,ah
Air,aire
Akte,acto
Akteur,actor
Aktionsbündnis,alianza de acción
Akzent,acento
Al,Al
Alarm schlagen,dar la alarma
Albert,Alberto
Album,álbum
Alexander,Alexander
Alfred,Alfred
Ali,Ali
Aliens,alienígenas
All,todo
Allah,Alá
Allan,Allan
Allison,Allison
Alltag entfliehen,escapar del día a día
Alpha,alfa
Alptraum,pesadilla
Altersgruppe,grupo de edad
Am,en
Amber,Ámbar
Ambiente,ambiente
Amerika,América
Amerikaner,americano
Anderson,Anderson
Andi,Andi
Andrea,Andrea
Andrew,Andrew
Andy,Andy
Anfall,ataque
Angelegenheit,asunto
Angelegenheiten,asuntos
Angesicht,cara
Anna,Anna
Anpassung,adaptación
Ansicht,opinión
Ansicht teilen,compartir una opinión
Anstoß,estímulo
Anthony,Anthony
Anton,Anton
Anweisung,instrucción
Anzahl,número
Apollo,Apolo
Arbeitsbedingung,condiciones laborales
Arbeitslosengeld,prestación por desempleo
Arbeitszeit,tiempo de trabajo
Archer,Archer
Argument,argumento
Ari,Ari
Arme,brazos
Armee,ejército
Army,ejército
Arsch,culo
Arschloch,imbécil
Assistentin,asistente
Atme,respira
Atmen,respirar
Au,au
Aufgaben,tareas
Aufwachen,despertar
Aufzeichnungen,registros
August,agosto
Ausgleich,compensación
Auslastung,carga de trabajo
Ausrede,excusa
Ausschau,búsqueda
Austin,Austin
Australien,Australia
Autounfall,accidente automovilístico
Avenue,avenida
B,B
Bach,Bach
Baker,Baker
Ballade,balada
Baltar,Baltar
Banner,banner
Barbara,Barbara
Barzahlung,pago en efectivo
Baseball,béisbol
Basil,Basilio
Bastard,bastardo
Bauernhof,granja
Bauteil,componente
Baxter,Baxter
Beamen,teletransportar
Befehle,comandos
Befund,diagnóstico
Begleiter,compañero
Behalte,guarda
Behalten,retener
Beharrlichkeit,perseverancia
Beileid,condolencias
Beine,piernas
Beleuchtung,iluminación
Ben,Ben
Berater,consultor
Besatzung,ocupación
Beste,mejor
Betrug,fraude
Bevölkerungsstruktur,estructura demográfica
Bewegt,movido
Bewegungen,movimiento
Bewegungsmuster,patrón de movimiento
Beweise,prueba
Bewusstsein,conciencia
Bezahlung,pago
Bezeichnung,denominación
Biest,bestia
Bilder,imagen
Bildung,educación
Bildungseinrichtung,centro educativo
Bill,Bill
Billie,Billie
Billy,Billy
Bin,estar
Bindung,vínculo
Bingo,bingo
Bist,ser
Blau,azul
Bleib,quedarse
Bleibt,quedarse
Blick werfen auf,echar un vistazo a
Block,bloque
Blockade,bloqueo
Bob,Bob
Bobby,Bobby
Bohnen,frijoles
Bonnie,Bonnie
Boone,Boone
Booth,Booth
Bord,bordo
Boston,Boston
Botwin,Botwin
Boy,niño
Brad,Brad
Brand,incendio
Bringt,traer
Brooklyn,Brooklyn
Brunnen,pozo
Brutto,bruto
Bryce,Bryce
Buchstaben,letra
Buddha,Buda
Buddy,amigo
Buffy,Buffy
Bullen,policía
Bunker,búnker
Burger,hamburguesa
Bursche,chico
