Deutsch_grundform,spanisch_grundform
abschließen,terminar
Ahnung,idea
Als,que
Ampel,semáforo
ändern,cambiar
Angst,miedo
antwortbogen,hoja de respuestas
Apotheke,farmacia
ärgern,enfadar
Artikel,artículo
jeden,en cualquier/ningún caso
keinen,en cualquier/ningún caso
Fall,en cualquier/ningún caso
aufpassen,prestar atención
Ausbildung,formación
ausgeben,gastar
Außer,excepto
bedanken,agradecer
beeilen,darse prisa
beenden,terminar
beraten,aconsejar
berichten,informar
beschweren,quejarse
bestätigen,confirmar
bestehen,aprobar
Besuch,visita
bewerben,solicitar
deutlich,claramente
drinnen,dentro
Drüber,encima
dumm,tonto
dunkel,oscuro
dünn,delgado
E-book,libro electrónico
echt,de verdad
eigen,propio
Eigentlich,en realidad
einig,de acuerdo
Einkaufszentrum,centro comercial
einpacken,empaquetar
eintragen,inscribir
einverstanden,de acuerdo
einzeln,individual
einziehen,mudarse
eng,estrecho
Erdgeschoss,planta baja
Erfahrung,experiencia
erinnern,recordar
Erkältet,resfriado
Erlaubnis,permiso
Ermäßigung,descuento
erreichen,llegar
erst,primero
Etwas,algo
Fach,asignatura
Fahrplan,horario
fallen,caer
Fan,fan
fantastisch,fantástico
faul,vago
Fernseher,televisor
Festival,festival
fett,graso
fit,en forma
fleißig,trabajador
Flohmarkt,mercadillo
Flug,vuelo
Fluss,río
Fotoapparat,cámara de fotos
fotografieren,fotografiar
freiwillig,voluntario
freundlich,amable
frisch,fresco
froh,alegre
früh,temprano
fühlen,sentir
fundsachen,objetos perdidos
furchtbar,terrible
Gabel,tenedor
ganz,entero
Garage,garaje
Geehrt,honrado
gefährlich,peligroso
Gegenteil,contrario
Gegenüber,enfrente
Geldbörse,monedero
genau,exacto
genug,suficiente
Gerät,aparato
Gericht,plato
Geschichte,historia
Geschirr,vajilla
gesund,sano
Gesundheit,salud
Gewitter,tormenta
Gitarre,guitarra
Grippe,gripe
Hamburger,hamburguesa
Handtuch,toalla
hängen,colgar
hart,duro
hässlich,feo
Hauptstadt,capital
Haushalt,hogar
Heft,cuaderno
heiß,caliente
Heizung,calefacción
Hemd,camisa
Her,hacia aquí/allá
Heraus,afuera
Raus,afuera
Herein,adentro
Rein,adentro
herstellen,fabricar
herunterladen,descargar
Himmel,cielo
Hinter,detrás de
hoffen,esperar
Hoffentlich,ojalá
Homepage,página web
husten,toser
informieren,informar
Insel,isla
Instrument,instrumento
intelligent,inteligente
Interesse,interés
interessieren,interesar
interessant,interesante
Interview,entrevista
Jeans,vaqueros
Jemand,alguien
joggen,hacer footing
Jugendherberge,albergue juvenil
Kalender,calendario
kalt,frío
Kamera,cámara
Käse,queso
Kaufhaus,grandes almacenes
Keller,sótano
Kenntnisse,conocimientos
Kette,cadena
Kirche,iglesia
klappen,funcionar
Klavier,piano
Kleid,vestido
klug,listo
komisch,raro
Kontakt,contacto
kontrollieren,controlar
Konzert,concierto
Körper,cuerpo
Kosmetik,cosmética
kostenlos,gratis
Krankenhaus,hospital
Krankenkasse,seguro médico
Krankheit,enfermedad
Kredit,crédito
Kreuzung,cruce
kriegen,conseguir
Krimi,novela negra
kühl,fresco
Kultur,cultura
Kunst,arte
Lampe,lámpara
Landschaft,paisaje
langweilig,aburrido
Laptop,portátil
lassen,dejar
leer,vacío
Leidtun,sentir
leihen,prestar
liefern,entregar
Link,enlace
Löffel,cuchara
Lüge,mentira
lügen,mentir
Lust,gana
magen,estómago
Mailbox,buzón de voz
Mal,vez
malen,pintar
Manch,alguno
Manchmal,a veces
Mannschaft,equipo
Mantel,abrigo
Medikament,medicamento
meinen,opinar
Meinung,opinión
Meistens,la mayoría de las veces
Menge,cantidad
merken,darse cuenta
Messe,feria
Messer,cuchillo
Mindestens,por lo menos
Mineralwasser,agua mineral
Mitarbeiter,empleado
mittagessen,almuerzo
Mittel,medio
Mobiltelefon,teléfono móvil
Mode,moda
modern,moderno
Motor,motor
Motorroller,scooter
Müll,basura
Museum,museo
Mütze,gorro
Nachbar,vecino
Nachricht,noticia
Nähe,cerca
