Deutsch_grundform,spanisch_grundform
Abenteuerlust,ganas de aventura
Aberkennung,revocación
Abfallvermeidung,prevención de residuos
Abfindung,indemnización
Abgrenzung,delimitación
Abhandlung,tratado
Abhängigkeitssoziologie,sociología de la dependencia
Abhörung,escucha telefónica
Abkopplung,desacoplamiento
Ablehnung,rechazo
Ablösungskrisesoziologie,sociología de crisis de separación
Abnahme,disminución
Abnutzung,desgaste
Abolitionismus,abolicionismo
Abschaffung,abolición
Abschottung,aislamiento
Abschreckung,disuasión
Absicht,intención
Absonderung,secreción
Abstinenz,abstinencia
Abstraktionsfähigkeit,capacidad de abstracción
Abtrennung,separación
Abundanz,abundancia
Abwehrauftrag,mandato de defensa
Abweichung,desviación
Abwertung,devaluación
Abwägung,ponderación
achselzucken,encogimiento de hombros
Achtsamkeit,atención plena
Achtsamkeitsübung,ejercicio de atención plena
Achtung,respeto
Adaptationsfähigkeit,capacidad de adaptación
Adaptationsfähigkeitskrisesoziologie,sociología de crisis de capacidad adaptativa
Adaptationsmechanismus,mecanismo de adaptación
Adaptionssoziologie,sociología de la adaptación
Addendum,addendum
Aderlass,sangría
Adoleszenz,adolescencia
Adoleszenzkrisesoziologie,sociología de la crisis adolescente
Adoptionssoziologie,sociología de la adopción
Aerodynamik,aerodinámica
Affektsoziologie,sociología afectiva
Affinität,afinidad
Affäre,asunto
Afrikanistik,africanística
Aggravationseffekt,efecto de agravación
Aggression,agresión
Aggressionssoziologie,sociología de la agresión
Agilität,agilidad
Agnostizismus,agnosticismo
Agrarreform,reforma agraria
Agrochemie,agroquímica
Ahnung,presentimiento
Airbag,airbag
Akademiker,académico
Akademismus,academicismo
Akkulturationsoziologie,sociología de la aculturación
Akkulturationsprozeß,proceso de aculturación
Akteursperspektive,perspectiva del actor
Aktivismossoziologie,sociología del activismo
Aktivismus,activismo
Akupunktur,acupuntura
Akzeptabilität,aceptabilidad
Alarmismus,alarmismo
Albernheit,tontería
Albinismus,albinismo
Alchemie,alquimia
Algebraisch,algebraico
Algorithmensoziologie,sociología de algoritmos
Algorithmus,algoritmo
Algorithmussoziologie,sociología algorítmica
Alkoholismus,alcoholismo
Allegorie,alegoría
Allmacht,omnipotencia
Allokationseffizienz,eficiencia de asignación
Alltagskultursoziologie,sociología de cultura cotidiana
Alltagsperspektive,perspectiva cotidiana
Alphabetisierung,alfabetización
Alphabetisierungsrate,tasa de alfabetización
Alternativkultursoziologie,sociología de cultura alternativa
Altersgerechtigkeit,justicia etaria
Altersoziologie,sociología del envejecimiento
Alterssoziologie,sociología del envejecimiento
Altruismus,altruismo
Amateurismus,amateurismo
Ambiguität,ambigüedad
Ambiguitätstoleranz,tolerancia a la ambigüedad
Ambivalenz,ambivalencia
Amnesie,amnesia
Amnestie,amnistía
Amorph,amorfo
Amplitüde,amplitud
Anabolikum,anabólico
Analogie,analogía
Analogiebildung,formación de analogías
Analyse,análisis
Analytik,análisis
Anarchie,anarquía
Anarchismus,anarquismo
Anatomie,anatomía
Andeutung,insinuación
Androgyn,andrógino
Aneignung,apropiación
Anekdote,anécdota
Anekdotisch,anecdótico
Anerkennung,reconocimiento
Anerkennungsgerechtigkeit,justicia de reconocimiento
Anfechtung,impugnación
Anfälligkeit,susceptibilidad
Angstsoziologie,sociología de la ansiedad
Anhaltspunkt,indicio
Anhäufung,acumulación
Animosität,animosidad
Anklage,acusación
Anlass,ocasión
Anmaßung,presunción
Anmut,gracia
Annexion,anexión
Anomalie,anomalía
Anonymität,anonimato
Anonymitätsoziologie,sociología del anonimato
Anpassung,adaptación
Anpassungsbereitschaft,disposición a la adaptación
Anpassungsprinzip,principio de adaptación
Anpassungssoziologie,sociología del ajuste
Anregung,estímulo
Anschauung,concepción
Ansiedlungssoziologie,sociología del asentamiento
Anspannung,tensión
Anspielung,alusión
Anstand,decencia
Ansteckung,contagio
Anstiftung,instigación
Anstoß,impulso
Antagonismus,antagonismo
Antagonist,antagonista
Antarktis,Antártica
Anteilnahme,participación
Anthropologie,antropología
Anthropomorphismus,antropomorfismo
Antibiotikum,antibiótico
Antidemokratisch,antidemocrático
Antidiskriminierungsgesetz,ley antidiscriminación
Antikörper,anticuerpo
Antimaterie,antimateria
Antioxidans,antioxidante
Antisemitismus,antisemitismo
Antisemitismusvorwurf,acusación de antisemitismo
Antithese,antítesis
Antrieb,impulso
Antriebslosigkeitssoziologie,sociología de la apatía
Anwendbarkeit,aplicabilidad
Anwendung,aplicación
Anwendungsorientierung,orientación aplicada
Anwesenheit,presencia
Anzüglichkeit,insinuación
Anästhesie,anestesia
Apartheid,apartheid
Apathie,apatía
Aphorismus,aforismo
Apokalypse,apocalipsis
Apologetik,apologética
Apologie,apología
Apostel,apóstol
Apotheose,apoteosis
Apparat,aparato
Apparatus,aparato
Appellationsinstanz,instancia de apelación
Appetitlosigkeit,falta de apetito
Apprenticeship,aprendizaje
Approximationsmethode,método de aproximación
Apropos,a propósito
Arbeiterrechte,derechos laborales
Arbeitgeber,empleador
Arbeitgebersoziologie,sociología patronal
arbeitsbedingungen,condiciones laborales
Arbeitseffektivität,efectividad laboral
Arbeitseffizienz,eficiencia laboral
Arbeitsergebnis,resultado laboral
Arbeitsflexibilisierung,flexibilización laboral
Arbeitsgerechtigkeit,justicia laboral
Arbeitsinhalt,contenido del trabajo
Arbeitsintensivierung,intensificación del trabajo
Arbeitsleistung,rendimiento laboral
Arbeitslosigkeit,desempleo
Arbeitsoptimierung,optimización del trabajo
Arbeitsplatzgestaltung,diseño del puesto de trabajo
Arbeitsplatzqualität,calidad del puesto
Arbeitsplatzsicherheit,seguridad del puesto
Arbeitsplatzwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio laboral
Arbeitsproduktivität,productividad laboral
Arbeitsprozeß,proceso laboral
Arbeitsqualität,calidad del trabajo
Arbeitsrationalisierung,racionalización del trabajo
Arbeitssoziologie,sociología del trabajo
Arbeitsstruktur,estructura laboral
Arbeitsteilung,división del trabajo
Arbeitsumgebung,ambiente laboral
Arbeitszeit,tiempo de trabajo
Arbeitszeitgestaltung,configuración del tiempo laboral
Arbeitszufriedenheit,satisfacción laboral
Arbitrage,arbitraje
Arbitrarität,arbitrariedad
Archaismus,arcaísmo
Archetyp,arquetipo
Archipel,archipiélago
Architektur,arquitectura
Architektursoziologie,sociología arquitectónica
Archiv,archivo
Archäologie,arqueología
Argumentationsfähigkeitsentfaltung,desarrollo de la capacidad argumentativa
Argumentationsstruktur,estructura argumentativa
Aridität,aridez
Aristokratie,aristocracia
Arithmetik,aritmética
Armseligkeit,miseria
Arroganz,arrogancia
Art,especie
Artenschutz,protección de especies
Artenvielfalt,biodiversidad
Arteriosklerose,arterioesclerosis
Arthritis,artritis
Artigkeit,cortesía
Artikulationsfähigkeit,capacidad de articulación
Artillerie,artillería
Arzneimittel,medicamento
Asceticism,ascetismo
Askese,ascesis
Aspekte,aspectos
Aspirant,aspirante
Assemblage,ensamblaje
Assimilationssoziologie,sociología de la asimilación
Assistance,ayuda
Assistenzauftrag,mandato asistencial
Assoziationskette,cadena de asociaciones
Assoziativität,asociatividad
Assoziierung,asociación
Astheniker,asténico
Asthma,asma
Astrologie,astrología
